,SEC_CODE,ABBREVIATED_NAME,GICS_SECTOR_CODE,SECTOR_CODE,SECTOR
617,BGD,BARTONGOLDHOLDINGS  ,15104000,15,Materials
618,BGE,BRIDGESAASLIMITED   ,45100000,45,Information Technology
619,BGG,BLACKGOLD INT HLDGS ,10100000,10,Energy
620,BGH,BLIGH RESOURCES LTD ,15104000,15,Materials
621,BGL,BELLEVUE GOLD LTD   ,15104000,15,Materials
622,BGP,BRISCOE GROUP       ,25500000,25,Consumer Discretionary
623,BGR,BRONSON GROUP LTD   ,00000000,00,
624,BGS,BIRIMIAN LIMITED    ,15104000,15,Materials
625,BGT,BIO-GENE TECHNOLOGY ,15100000,15,Materials
626,BH8,BHP DUMMY TORESS    ,99999999,99,N/A
627,BHA,BERK HATH INC CLASSB,99999999,99,N/A
628,BHD,BENJAMIN HORNGLD LTD,00000000,00,
629,BHG,BEAUTY HEALTH LTD   ,45100000,45,Information Technology
630,BHL,BOYUAN HOLDINGS     ,60100000,60,Real Estate
631,BHP,BHP GROUP LIMITED   ,15104000,15,Materials
632,BHY,BETA BANK HYBRID ETF,00000000,00,
633,BIC,BIRON APPAREL LTD   ,25500000,25,Consumer Discretionary
634,BID,BILL IDENTITY LTD   ,45100000,45,Information Technology
635,BIF,ISHARES MSCI BRA ETF,99999999,99,N/A
636,BIG,BIG UN LTD          ,45100000,45,Information Technology
637,BIL,ISHARES CORE CASH   ,00000000,00,
638,BIM,BINDIMETALSLIMITED  ,15104000,15,Materials
639,BIN,BINGO INDUSTRIES LTD,20200000,20,Industrials
640,BIO,BIOME AUSTRALIA LTD ,30300000,30,Consumer Staples
641,BIQ,BUILDINGIQ INC      ,45100000,45,Information Technology
642,BIR,BIR FINANCIAL LTD   ,40200000,40,Financials
643,BIS,BISALLOY STEEL      ,15104000,15,Materials
644,BIT,BIOTRON LIMITED     ,35200000,35,Health Care
645,BIV,BLUE CAPITAL LIMITED,40200000,40,Financials
646,BKC,BANK OF CHINA LTD   ,00000000,00,
647,BKG,BOOKTOPIA GROUP     ,25500000,25,Consumer Discretionary
648,BKI,BKI INVESTMENT LTD  ,00000000,00,
649,BKL,BLACKMORES LIMITED  ,30300000,30,Consumer Staples
650,BKM,BKM MANAGEMENT LTD  ,20200000,20,Industrials
651,BKN,BRADKEN LIMITED     ,20100000,20,Industrials
652,BKP,BARAKA ENERGY RES   ,10100000,10,Energy
653,BKT,BLACK ROCK MINING   ,15104000,15,Materials
654,BKW,BRICKWORKS LIMITED  ,15100000,15,Materials
655,BKY,BERKELEY ENERGIA LTD,10100000,10,Energy
656,BLA,BLUE SKY LIMITED    ,40200000,40,Financials
657,BLD,BORAL LIMITED.      ,15100000,15,Materials
658,BLG,BLUGLASS LIMITED    ,45300000,45,Information Technology
659,BLK,BLACKHAM RESOURCES  ,15104000,15,Materials
660,BLL,BELL ASSET MGMT BLL ,00000000,00,
661,BLM,BELL ASSET MGMT BLM ,00000000,00,
662,BLO,BETA BLOCKCHAIN INNO,00000000,00,
663,BLR,BLACK RANGE MIN.    ,10100000,10,Energy
664,BLT,BENITEC BIOPHARMA   ,35200000,35,Health Care
665,BLU,BLUE ENERGY LIMITED.,10100000,10,Energy
666,BLV,BLOSSOMVALE HOLDINGS,10100000,10,Energy
667,BLX,BEACON LIGHTING GRP ,25500000,25,Consumer Discretionary
668,BLY,BOART LONGYEAR      ,15104000,15,Materials
669,BLZ,BLAZE MINERALS LTD  ,10100000,10,Energy
670,BM8,BATTERY AGE MINERALS,15104000,15,Materials
671,BME,BLACKMOUNTAINENERGY ,10100000,10,Energy
672,BMG,BMG RESOURCES LTD   ,15104000,15,Materials
673,BMH,BAUMART HOLDINGS LTD,20100000,20,Industrials
674,BML,BOAB METALS LTD     ,15104000,15,Materials
675,BMM,BALKANMININGANDMIN  ,15104000,15,Materials
676,BMN,BANNERMAN ENERGY LTD,10100000,10,Energy
677,BMO,BASTION MINERALS    ,15104000,15,Materials
678,BMP,BUYMYPLACE LIMITED  ,60100000,60,Real Estate
679,BMR,BALLYMORE RESOURCES ,15104000,15,Materials
680,BMT,BEAMTREE HOLDINGS   ,35100000,35,Health Care
681,BMY,BRUMBY RESOURCES    ,15104000,15,Materials
682,BMZ,BLACK MOUNTA RES LTD,15104000,15,Materials
683,BND,BETA WA AUS BOND    ,00000000,00,
684,BNE,BONE MEDICAL LIMITED,35200000,35,Health Care
685,BNJ,BELLA 2011-3        ,00000000,00,
686,BNK,BETA GLOBAL BANKS   ,00000000,00,
687,BNL,BLUE STAR HELIUM LTD,10100000,10,Energy
688,BNO,BIONOMICS LIMITED   ,35200000,35,Health Care
689,BNR,BULLETIN RES LTD    ,15104000,15,Materials
690,BNT,BOUNTY MINING LTD   ,10100000,10,Energy
691,BNV,BRAND NEW VINTAGE   ,30200000,30,Consumer Staples
692,BNZ,BENZMINING          ,15104000,15,Materials
693,BOA,BOADICEA RESOURCES  ,15104000,15,Materials
694,BOB,BORAL LTD...        ,00000000,00,
695,BOC,BOUGAINVILLE COPPER ,15104000,15,Materials
696,BOD,BOD SCIENCE LTD     ,25500000,25,Consumer Discretionary
697,BOE,BOSS ENERGY LTD     ,10100000,10,Energy
698,BOK,BLACK OAK MIN LTD   ,15104000,15,Materials
699,BOL,BOOM LOGISTICS      ,20100000,20,Industrials
700,BON,SPDR AUST BOND      ,00000000,00,
701,BOP,BIRCH PRESTIGE GROUP,25500000,25,Consumer Discretionary
702,BOQ,BANK OF QUEENSLAND. ,40100000,40,Financials
703,BOT,BOTANIX PHARMA LTD  ,35200000,35,Health Care
704,BOX,BETTUBE CORP        ,00000000,00,
705,BPA,BROOKFIELD PRIME    ,60100000,60,Real Estate
706,BPB,BP CAPITAL PLC      ,00000000,00,
707,BPF,BULLETPROOF GROUP   ,45100000,45,Information Technology
708,BPG,BYTE POWER GROUP    ,25500000,25,Consumer Discretionary
709,BPH,BPH ENERGY LTD      ,35200000,35,Health Care
710,BPI,NSX.BPI             ,99999999,99,N/A
711,BPL,BROKEN HILL PROSPECT,15104000,15,Materials
712,BPM,BPM MINERALS        ,15104000,15,Materials
713,BPP,BABYLON PUMP & POWER,20100000,20,Industrials
714,BPS,BPS TECHNOLOGY LTD  ,45100000,45,Information Technology
715,BPT,BEACH ENERGY LIMITED,10100000,10,Energy
716,BRB,BREAKER RES NL      ,15104000,15,Materials
717,BRC,BRAIN RESOURCE LTD  ,35100000,35,Health Care
718,BRD,BLACK RIDGE MIN NL  ,15104000,15,Materials
719,BRF,ISHARESMSCI BRIC ETF,99999999,99,N/A
720,BRG,BREVILLE GROUP LTD  ,25200000,25,Consumer Discretionary
721,BRI,BIG RIV INDUST LTD  ,15100000,15,Materials
722,BRK,BROOKSIDE ENERGY LTD,10100000,10,Energy
723,BRL,BATHURST RES LTD.   ,15104000,15,Materials
724,BRN,BRAINCHIP LTD       ,45100000,45,Information Technology
725,BRO,BROAD INVESTMENTS   ,50100000,50,Communication Services
726,BRS,BROADSPECTRUM LTD   ,20200000,20,Industrials
727,BRU,BURU ENERGY         ,10100000,10,Energy
728,BRV,BIG RIVER GOLD LTD  ,15104000,15,Materials
729,BRX,BELARAROXLIMITED    ,15104000,15,Materials
730,BS8,BSL DUMMY TORESS    ,99999999,99,N/A
731,BSA,BSA LIMITED         ,20200000,20,Industrials
732,BSE,BASE RES LIMITED    ,15104000,15,Materials
733,BSK,METAL BASKET        ,00000000,00,
734,BSL,BLUESCOPE STEEL LTD ,15104000,15,Materials
735,BSM,BASS METALS LTD     ,15104000,15,Materials
736,BSN,BASINENERGYLIMITED  ,10100000,10,Energy
737,BSP,BLACK STAR PETROLEUM,10100000,10,Energy
738,BSR,BASSARI RESOURCES   ,15104000,15,Materials
739,BST,BEST & LESS         ,25500000,25,Consumer Discretionary
740,BSX,BLACKSTONE LTD      ,15104000,15,Materials
741,BT3,PERPETUAL           ,00000000,00,
742,BTC,BTC HEALTH LTD      ,00000000,00,
743,BTE,BOTALAENERGYLTD     ,10100000,10,Energy
744,BTG,BERONI GROUP LTD    ,00000000,00,
745,BTH,BIGTINCAN HLDGS LTD ,45100000,45,Information Technology
746,BTI,BAILADOR TECH INV   ,40200000,40,Financials
747,BTK,BOTAI TECHNOLOGY LTD,45200000,45,Information Technology
748,BTN,BUTN LIMITED        ,40200000,40,Financials
749,BTR,BRIGHTSTAR RESOURCES,15104000,15,Materials
750,BTT,BT INVESTMENT MNGMNT,40200000,40,Financials
751,BUA,BURRABULLA CORP LTD ,15104000,15,Materials
752,BUB,BUBS AUST LTD       ,30200000,30,Consumer Staples
753,BUD,BUDDY TECH          ,25200000,25,Consumer Discretionary
754,BUE,BLUESTONE GLOBAL LTD,20200000,20,Industrials
755,BUG,BUDERIM GROUP LTD   ,30200000,30,Consumer Staples
756,BUL,BLUE ENERGY LIMITED ,10100000,10,Energy
757,BUN,BUNURU CORPORATION  ,45200000,45,Information Technology
758,BUR,BURLEYMINERALS      ,15104000,15,Materials
759,BUS,BUBALUSRESOURCES    ,15104000,15,Materials
760,BUX,BUXTON RESOURCES LTD,15104000,15,Materials
761,BUY,BOUNTY OIL & GAS NL ,10100000,10,Energy
762,BVR,BELLAVISTARESOURCES ,15104000,15,Materials
763,BVS,BRAVURA SOLUTION LTD,45100000,45,Information Technology
764,BWF,BLACKWALL LIMITED   ,40200000,40,Financials
765,BWP,BWP TRUST           ,60101000,60,Real Estate
766,BWR,WOTSO PROP          ,60101000,60,Real Estate
767,BWX,BWX LIMITED         ,30300000,30,Consumer Staples
768,BX8,BRAMBLES DUMMY TORES,99999999,99,N/A
769,BXB,BRAMBLES LIMITED    ,20200000,20,Industrials
770,BXN,BIOXYNE LTD         ,30300000,30,Consumer Staples
771,BYE,BYRON ENERGY LTD    ,10100000,10,Energy
772,BYH,BRYAH RESOURCES LTD ,15104000,15,Materials
773,BYI,BEYOND INTERNATIONAL,50200000,50,Communication Services
774,BYL,BRIERTY LIMITED     ,20100000,20,Industrials
775,BYR,BUREY GOLD LIMITED  ,15104000,15,Materials
776,BZL,BRAZIRON LIMITED    ,15104000,15,Materials
777,C1X,COSMOSEXPLORATION   ,15104000,15,Materials
778,C25,ISHARES FTSECHINA 25,99999999,99,N/A
779,C29,C29METALSLIMITED    ,15104000,15,Materials
780,C2F,CENTURIA FUNDS      ,00000000,00,
781,C6C,COPPER MOUNTAIN     ,15104000,15,Materials
782,C79,CHRYSOSCORPLTD      ,20200000,20,Industrials
783,C7A,CLARA RESOURCES     ,15104000,15,Materials
784,CA8,COASSETS LTD.       ,40200000,40,Financials
785,CAA,CAPRAL LIMITED      ,15104000,15,Materials
